step	loss
0	0.4650004804134369
1	0.09652119129896164
2	0.07243438065052032
3	0.056027933955192566
4	0.046118445694446564
5	0.03936820104718208
6	0.03482133150100708
7	0.03130550682544708
8	0.028662635013461113
