step	dice_multi
0	0.4960562753563604
1	0.4960562753563604
2	0.8039268897678324
3	0.8212016139174594
4	0.8398074531062809
5	0.839079665241681
6	0.8397413234126999
7	0.8414867367181965
8	0.843223234853038
